,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
65,souillac,-20.5167,57.5167,295.36,64.0,40.0,5.14,MU,1624124245.0,22.210000000000036
66,kloulklubed,7.0419,134.2556,299.43,72.0,51.0,2.48,PW,1624124331.0,26.28000000000003
67,bilibino,68.0546,166.4372,278.91,88.0,99.0,1.22,RU,1624124308.0,5.760000000000048
68,lovington,32.944,-103.3485,306.66,21.0,17.0,2.24,US,1624124632.0,33.51000000000005
69,katsuura,35.1333,140.3,294.92,93.0,100.0,6.3,JP,1624124251.0,21.77000000000004
70,mettur,11.8,77.8,299.99,65.0,99.0,0.72,IN,1624124633.0,26.840000000000032
71,riberalta,-10.9833,-66.1,293.26,88.0,90.0,7.72,BO,1624124633.0,20.110000000000014
72,nikolskoye,59.7035,30.7861,301.09,63.0,7.0,0.93,RU,1624124232.0,27.939999999999998
73,tsihombe,,,,,,,,,
74,kapaa,22.0752,-159.319,299.37,83.0,75.0,4.63,US,1624124226.0,26.220000000000027
75,nguiu,,,,,,,,,
76,burnie,-41.0667,145.9167,281.29,84.0,14.0,2.25,AU,1624124237.0,8.140000000000043
77,constitucion,-35.3333,-72.4167,287.59,57.0,79.0,3.49,CL,1624124283.0,14.439999999999998
78,padang,-0.9492,100.3543,297.78,82.0,77.0,1.68,ID,1624124634.0,24.629999999999995
79,dikson,73.5069,80.5464,272.95,82.0,24.0,2.11,RU,1624124223.0,-0.19999999999998863
80,calabar,4.9517,8.322,298.33,86.0,86.0,2.17,NG,1624124392.0,25.180000000000007
81,cape town,-33.9258,18.4232,294.33,47.0,0.0,1.54,ZA,1624124404.0,21.180000000000007
82,chiang rai,19.9167,99.9167,300.14,78.0,0.0,2.57,TH,1624124635.0,26.99000000000001
83,jamestown,42.097,-79.2353,298.16,76.0,40.0,1.34,US,1624123988.0,25.010000000000048
84,albany,42.6001,-73.9662,304.03,42.0,52.0,0.45,US,1624123927.0,30.879999999999995
85,mahebourg,-20.4081,57.7,295.31,64.0,40.0,5.14,MU,1624124284.0,22.160000000000025
86,yatou,37.15,122.3833,294.13,73.0,40.0,4.91,CN,1624124635.0,20.980000000000018
87,tuktoyaktuk,69.4541,-133.0374,289.15,51.0,40.0,5.14,CA,1624124240.0,16.0
88,sawakin,19.1059,37.3321,306.88,41.0,12.0,3.75,SD,1624124635.0,33.73000000000002
89,hosangadi,13.7,74.95,296.99,96.0,100.0,1.64,IN,1624124636.0,23.840000000000032
90,ilulissat,69.2167,-51.1,280.16,53.0,40.0,2.57,GL,1624124262.0,7.010000000000048
91,illoqqortoormiut,,,,,,,,,
92,berlevag,70.8578,29.0864,280.16,88.0,100.0,4.72,NO,1624124443.0,7.010000000000048
93,te anau,-45.4167,167.7167,273.05,93.0,11.0,0.46,NZ,1624124261.0,-0.0999999999999659
94,bundaberg,-24.85,152.35,285.49,69.0,26.0,1.79,AU,1624124637.0,12.340000000000032
95,staryy nadym,65.6118,72.6842,283.43,68.0,61.0,3.63,RU,1624124637.0,10.28000000000003
96,shadrinsk,56.0852,63.6335,286.8,94.0,100.0,4.56,RU,1624124637.0,13.650000000000034
97,hashtrud,37.4779,47.0508,295.31,32.0,21.0,2.76,IR,1624124637.0,22.160000000000025
98,loubomo,-4.1997,12.6739,297.64,66.0,8.0,2.31,CG,1624124638.0,24.49000000000001
99,panacan,9.2463,118.4082,300.09,83.0,100.0,1.23,PH,1624124638.0,26.939999999999998
100,najran,17.4924,44.1277,305.51,12.0,25.0,2.78,SA,1624124337.0,32.360000000000014
101,bredasdorp,-34.5322,20.0403,284.77,87.0,20.0,2.57,ZA,1624124245.0,11.620000000000005
102,arraial do cabo,-22.9661,-42.0278,296.13,78.0,75.0,5.14,BR,1624123958.0,22.980000000000018
103,ovre ardal,61.3167,7.8,284.11,92.0,100.0,1.38,NO,1624124639.0,10.960000000000036
104,puerto escondido,15.85,-97.0667,302.61,51.0,40.0,2.06,MX,1624124473.0,29.460000000000036
105,east london,-33.0153,27.9116,289.67,77.0,0.0,2.06,ZA,1624124246.0,16.52000000000004
106,pevek,69.7008,170.3133,275.62,91.0,94.0,1.06,RU,1624124243.0,2.4700000000000273
107,jumla,29.2747,82.1838,289.58,94.0,99.0,0.75,NP,1624124639.0,16.430000000000007
108,attawapiskat,,,,,,,,,
109,stromness,58.965,-3.296,284.29,78.0,100.0,7.25,GB,1624124574.0,11.140000000000043
110,chokurdakh,70.6333,147.9167,289.04,49.0,22.0,2.71,RU,1624124230.0,15.890000000000043
111,vaini,-21.2,-175.2,295.24,94.0,20.0,2.57,TO,1624124235.0,22.090000000000032
112,pentecoste,-3.7928,-39.2703,301.3,48.0,95.0,3.67,BR,1624124640.0,28.150000000000034
113,barentsburg,,,,,,,,,
114,guadalupe y calvo,26.1,-106.9667,301.1,14.0,6.0,1.97,MX,1624124641.0,27.950000000000045
115,sri aman,1.2376,111.4621,297.18,94.0,100.0,1.03,MY,1624124641.0,24.03000000000003
116,palabuhanratu,,,,,,,,,
117,oranjemund,-28.55,16.4333,294.06,37.0,3.0,4.1,NA,1624124641.0,20.910000000000025
118,cidreira,-30.1811,-50.2056,287.93,95.0,100.0,4.7,BR,1624124240.0,14.78000000000003
119,luderitz,-26.6481,15.1594,292.51,44.0,2.0,1.97,NA,1624124238.0,19.360000000000014
120,tasiilaq,65.6145,-37.6368,275.24,68.0,88.0,2.94,GL,1624124243.0,2.090000000000032
121,jinchengjiang,,,,,,,,,
122,vanimo,-2.6741,141.3028,297.79,90.0,97.0,2.08,PG,1624124243.0,24.640000000000043
123,huarmey,-10.0681,-78.1522,295.15,72.0,77.0,5.0,PE,1624124642.0,22.0
124,hithadhoo,-0.6,73.0833,301.89,70.0,100.0,5.99,MV,1624124218.0,28.74000000000001
125,tapes,-30.6733,-51.3958,288.6,82.0,100.0,2.04,BR,1624124643.0,15.450000000000045
126,buluang,13.3068,123.3425,299.8,90.0,100.0,1.78,PH,1624124643.0,26.650000000000034
127,sola,-13.8833,167.55,300.17,77.0,53.0,5.07,VU,1624124287.0,27.02000000000004
128,kavieng,-2.5744,150.7967,299.21,79.0,13.0,2.04,PG,1624124248.0,26.060000000000002
129,wajima,37.4,136.9,292.48,92.0,50.0,4.29,JP,1624124289.0,19.33000000000004
130,oxelosund,58.6706,17.1015,301.11,64.0,0.0,5.66,SE,1624124644.0,27.960000000000036
131,kutum,14.2,24.6667,303.32,18.0,27.0,4.05,SD,1624124295.0,30.170000000000016
132,qaanaaq,77.484,-69.3632,277.84,51.0,31.0,0.77,GL,1624124220.0,4.689999999999998
133,harper,4.375,-7.7169,300.02,76.0,60.0,4.46,LR,1624124644.0,26.870000000000005
134,port blair,11.6667,92.75,301.19,79.0,39.0,4.2,IN,1624124358.0,28.04000000000002
135,bontang,0.1333,117.5,297.86,90.0,54.0,2.51,ID,1624124644.0,24.710000000000036
136,cabo san lucas,22.8909,-109.9124,310.66,54.0,1.0,4.63,MX,1624124014.0,37.51000000000005
137,banda aceh,5.5577,95.3222,300.21,82.0,100.0,3.63,ID,1624124645.0,27.060000000000002
138,santa rosa,14.3122,121.1114,302.14,82.0,97.0,3.6,PH,1624124645.0,28.99000000000001
139,kaitangata,-46.2817,169.8464,283.11,87.0,19.0,2.71,NZ,1624124265.0,9.960000000000036
140,alice springs,-23.7,133.8833,282.9,66.0,90.0,2.57,AU,1624124472.0,9.75
141,dingle,10.9995,122.6711,298.03,88.0,100.0,1.09,PH,1624124325.0,24.879999999999995
142,egvekinot,66.3167,-179.1667,277.42,82.0,87.0,0.62,RU,1624124358.0,4.270000000000039
143,castro,-24.7911,-50.0119,286.02,96.0,100.0,1.3,BR,1624124239.0,12.870000000000005
144,port alfred,-33.5906,26.891,291.12,62.0,3.0,5.36,ZA,1624124224.0,17.970000000000027
145,namibe,-15.1961,12.1522,293.72,77.0,3.0,4.69,AO,1624124646.0,20.57000000000005
146,heidenreichstein,48.8667,15.1167,301.46,72.0,45.0,1.48,AT,1624124646.0,28.310000000000002
147,cayenne,4.9333,-52.3333,304.17,75.0,75.0,1.34,GF,1624124446.0,31.02000000000004
148,olafsvik,64.8945,-23.7142,278.83,69.0,84.0,6.55,IS,1624124357.0,5.680000000000007
149,hamilton,39.1834,-84.5333,298.27,76.0,90.0,7.2,US,1624124123.0,25.120000000000005
150,gewane,10.1664,40.6453,308.25,16.0,99.0,2.3,ET,1624124647.0,35.10000000000002
151,grand-lahou,5.1367,-5.0242,298.87,85.0,82.0,4.19,CI,1624124647.0,25.720000000000027
152,grand river south east,,,,,,,,,
153,fuerte olimpo,-21.0415,-57.8738,286.69,77.0,100.0,2.6,PY,1624124647.0,13.54000000000002
154,santa ines,-3.6667,-45.38,303.18,62.0,31.0,2.57,BR,1624124648.0,30.03000000000003
155,butaritari,3.0707,172.7902,300.51,74.0,100.0,0.77,KI,1624124259.0,27.360000000000014
156,talnakh,69.4865,88.3972,281.78,98.0,96.0,2.41,RU,1624124364.0,8.629999999999995
157,hun,29.1268,15.9477,306.54,16.0,0.0,4.48,LY,1624124648.0,33.39000000000004
158,fort nelson,58.8053,-122.7002,292.92,42.0,75.0,2.06,CA,1624124223.0,19.77000000000004
159,sitka,57.0531,-135.33,287.09,72.0,20.0,3.6,US,1624124197.0,13.939999999999998
160,changli,39.7042,119.1506,298.12,37.0,17.0,2.8,CN,1624124649.0,24.970000000000027
161,mangrol,21.1167,70.1167,302.41,74.0,58.0,7.23,IN,1624124618.0,29.260000000000048
162,jodhpur,26.2867,73.03,301.76,69.0,93.0,7.17,IN,1624124649.0,28.610000000000014
163,tazovskiy,67.4667,78.7,279.27,72.0,100.0,1.09,RU,1624124649.0,6.1200000000000045
164,salihorsk,52.7876,27.5415,294.22,82.0,55.0,3.26,BY,1624124650.0,21.07000000000005
165,mount gambier,-37.8333,140.7667,278.1,93.0,100.0,0.51,AU,1624124305.0,4.9500000000000455
166,mildura,-34.2,142.15,279.3,100.0,0.0,2.57,AU,1624124564.0,6.150000000000034
