,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
284,brikama,13.2714,-16.6494,305.17,55.0,0.0,6.69,GM,1624124674.0,32.02000000000004
285,general pico,-35.6566,-63.7568,285.7,52.0,15.0,4.26,AR,1624124674.0,12.550000000000011
286,altay,47.8667,88.1167,291.02,53.0,98.0,1.24,CN,1624124675.0,17.870000000000005
287,tahe,52.3333,124.7333,283.48,100.0,64.0,1.32,CN,1624124675.0,10.330000000000041
288,hovd,48.0056,91.6419,292.81,42.0,100.0,1.9,MN,1624124675.0,19.660000000000025
289,gizo,-8.103,156.8419,300.21,77.0,62.0,2.33,SB,1624124269.0,27.060000000000002
290,raahe,64.6833,24.4833,287.2,67.0,94.0,3.32,FI,1624124676.0,14.050000000000011
291,caravelas,-17.7125,-39.2481,297.2,62.0,78.0,4.32,BR,1624124284.0,24.05000000000001
292,ixtapa,20.7,-105.2,301.61,74.0,90.0,2.06,MX,1624124244.0,28.460000000000036
293,samarai,-10.6167,150.6667,298.92,77.0,100.0,5.93,PG,1624124220.0,25.77000000000004
294,tumannyy,,,,,,,,,
295,gashua,12.871,11.0482,308.96,26.0,79.0,2.31,NG,1624124676.0,35.81
296,damghan,36.1683,54.348,301.39,26.0,0.0,3.8,IR,1624124676.0,28.24000000000001
297,aripuana,-9.1667,-60.6333,303.69,52.0,88.0,0.76,BR,1624123946.0,30.54000000000002
298,zarubino,42.63,131.0922,285.88,91.0,99.0,4.97,RU,1624124677.0,12.730000000000018
299,leningradskiy,69.3833,178.4167,277.34,90.0,82.0,1.28,RU,1624124286.0,4.189999999999998
300,manicaragua,22.1494,-79.9736,304.78,59.0,90.0,2.78,CU,1624124677.0,31.629999999999995
301,provideniya,64.3833,-173.3,285.3,59.0,58.0,0.84,RU,1624124233.0,12.150000000000034
302,tuatapere,-46.1333,167.6833,274.16,91.0,4.0,1.72,NZ,1624124307.0,1.0100000000000477
303,port elizabeth,-33.918,25.5701,289.87,88.0,0.0,2.57,ZA,1624124292.0,16.720000000000027
304,kuah,6.3265,99.8432,299.14,94.0,40.0,1.03,MY,1624124678.0,25.99000000000001
305,muroto,33.2833,134.15,295.9,84.0,100.0,1.79,JP,1624124678.0,22.75
306,nome,64.5011,-165.4064,289.88,66.0,20.0,2.06,US,1624124342.0,16.730000000000018
307,khandbari,27.3747,87.2039,294.58,96.0,100.0,0.87,NP,1624124679.0,21.430000000000007
308,armidale,-30.5167,151.65,279.16,97.0,100.0,2.38,AU,1624124679.0,6.010000000000048
309,kegalla,,,,,,,,,
310,narsaq,60.9167,-46.05,283.27,79.0,100.0,1.42,GL,1624124325.0,10.120000000000005
311,saleaula,,,,,,,,,
312,breves,-1.6822,-50.4803,302.12,71.0,63.0,2.62,BR,1624124679.0,28.970000000000027
313,namtsy,62.7161,129.6658,286.21,70.0,60.0,0.86,RU,1624124680.0,13.060000000000002
314,ust-maya,60.4167,134.5333,285.65,73.0,40.0,0.64,RU,1624124253.0,12.5
315,worthington,40.0931,-83.018,300.72,69.0,1.0,0.89,US,1624124629.0,27.57000000000005
316,shuangyang,43.5242,125.6736,290.13,91.0,100.0,5.11,CN,1624124680.0,16.980000000000018
317,faya,18.3851,42.4509,298.21,51.0,93.0,1.47,SA,1624124680.0,25.060000000000002
318,codrington,-38.2667,141.9667,283.88,77.0,100.0,2.2,AU,1624124299.0,10.730000000000018
319,flin flon,54.7682,-101.865,293.06,49.0,75.0,4.63,CA,1624124439.0,19.910000000000025
320,oktyabrskiy,54.4815,53.471,290.92,81.0,12.0,5.08,RU,1624124681.0,17.77000000000004
321,severo-kurilsk,50.6789,156.125,279.33,90.0,84.0,1.45,RU,1624124278.0,6.180000000000007
322,naze,28.3667,129.4833,296.99,85.0,100.0,3.87,JP,1624124323.0,23.840000000000032
323,aklavik,68.2191,-135.0107,295.61,37.0,20.0,5.14,CA,1624124224.0,22.460000000000036
324,kajaani,64.2273,27.7285,290.18,67.0,0.0,1.54,FI,1624124682.0,17.03000000000003
325,gat,31.61,34.7642,298.6,100.0,0.0,3.12,IL,1624124461.0,25.450000000000045
326,bajram curri,42.3554,20.0784,298.22,78.0,40.0,1.64,AL,1624124682.0,25.07000000000005
327,valparaiso,-33.0393,-71.6273,292.28,57.0,0.0,3.09,CL,1624124682.0,19.129999999999995
328,portree,57.4129,-6.1942,287.51,72.0,89.0,1.89,GB,1624124683.0,14.360000000000014
329,perth,-31.9333,115.8333,285.42,94.0,90.0,4.63,AU,1624124414.0,12.270000000000039
330,kruisfontein,-34.0033,24.7314,288.64,31.0,27.0,2.35,ZA,1624124242.0,15.490000000000009
331,sorbhog,26.5,90.8667,296.98,98.0,100.0,1.85,IN,1624124683.0,23.83000000000004
332,vila velha,-20.3297,-40.2925,294.12,88.0,75.0,1.54,BR,1624124125.0,20.970000000000027
333,toccoa,34.5773,-83.3324,303.81,73.0,100.0,4.44,US,1624124385.0,30.660000000000025
334,tumaco,1.7986,-78.8156,300.4,76.0,89.0,4.78,CO,1624124684.0,27.25
335,beasain,43.0502,-2.2009,302.01,87.0,82.0,1.73,ES,1624124684.0,28.860000000000014
336,comodoro rivadavia,-45.8667,-67.5,282.07,43.0,0.0,7.2,AR,1624124684.0,8.920000000000016
337,sol-iletsk,51.1631,54.9918,291.52,61.0,9.0,2.52,RU,1624124685.0,18.370000000000005
338,ruatoria,,,,,,,,,
339,qena,26.1615,32.7183,308.21,7.0,0.0,4.65,EG,1624124685.0,35.06
340,daru,-9.0763,143.2092,298.46,79.0,82.0,5.83,PG,1624124627.0,25.310000000000002
341,qaqortoq,60.7167,-46.0333,283.43,83.0,100.0,1.69,GL,1624124685.0,10.28000000000003
342,santa fe,-31.6333,-60.7,289.83,43.0,7.0,0.45,AR,1624124686.0,16.680000000000007
343,pisco,-13.7,-76.2167,292.18,77.0,90.0,2.57,PE,1624124233.0,19.03000000000003
344,yanam,16.7333,82.2167,301.25,74.0,100.0,2.91,IN,1624124320.0,28.100000000000023
345,muros,42.7762,-9.0603,290.42,78.0,97.0,5.75,ES,1624124686.0,17.27000000000004
346,bandarban,22.1965,92.2262,296.45,98.0,100.0,2.21,BD,1624124686.0,23.30000000000001
347,bengkulu,-3.8004,102.2655,297.95,86.0,97.0,1.8,ID,1624124251.0,24.80000000000001
348,cabinda,-5.55,12.2,299.23,78.0,20.0,3.6,AO,1624124687.0,26.08000000000004
349,torbay,47.6666,-52.7314,289.42,89.0,90.0,1.54,CA,1624124128.0,16.27000000000004
350,vaitupu,,,,,,,,,
351,bereda,43.2686,-7.5406,291.71,86.0,99.0,2.66,ES,1624124687.0,18.560000000000002
352,sumenep,-7.0167,113.8667,299.43,82.0,76.0,2.32,ID,1624124688.0,26.28000000000003
353,ukiah,39.1502,-123.2078,309.83,34.0,1.0,1.54,US,1624124688.0,36.68000000000001
354,kavaratti,10.5669,72.642,301.41,77.0,55.0,8.38,IN,1624124688.0,28.260000000000048
355,jiangyou,31.7667,104.7167,291.97,92.0,44.0,0.57,CN,1624124688.0,18.82000000000005
356,maridi,4.9158,29.4742,293.28,94.0,82.0,2.2,SS,1624124689.0,20.129999999999995
357,shizunai,42.3339,142.3669,285.5,94.0,100.0,3.77,JP,1624124689.0,12.350000000000023
358,konstantinovka,49.6167,127.9833,286.18,96.0,68.0,3.33,RU,1624124689.0,13.03000000000003
359,ketchenery,,,,,,,,,
360,neulengbach,48.1974,15.9022,304.75,76.0,28.0,0.85,AT,1624124690.0,31.600000000000023
361,kieta,-6.2167,155.6333,298.07,83.0,14.0,0.64,PG,1624124690.0,24.920000000000016
362,palmares do sul,-30.2578,-50.5097,288.19,91.0,100.0,2.36,BR,1624124690.0,15.04000000000002
363,sao filipe,14.8961,-24.4956,296.59,77.0,2.0,6.55,CV,1624124307.0,23.439999999999998
364,waddan,29.1614,16.139,306.12,18.0,0.0,4.62,LY,1624124308.0,32.97000000000003
365,bolungarvik,,,,,,,,,
366,sioux lookout,50.1001,-91.917,286.19,76.0,90.0,2.57,CA,1624124220.0,13.04000000000002
367,lerwick,60.1545,-1.1494,284.15,63.0,100.0,3.35,GB,1624124691.0,11.0
368,killybegs,54.6333,-8.45,290.99,64.0,100.0,4.79,IE,1624124691.0,17.840000000000032
369,timmins,48.4669,-81.3331,287.05,82.0,90.0,3.09,CA,1624124692.0,13.900000000000034
370,minab,27.1467,57.0801,304.87,50.0,0.0,2.27,IR,1624124692.0,31.720000000000027
371,garowe,8.4054,48.4845,302.31,43.0,49.0,10.61,SO,1624124692.0,29.160000000000025
372,otterup,55.5153,10.3976,292.75,87.0,65.0,3.97,DK,1624124692.0,19.600000000000023
373,bairiki,1.3292,172.9752,300.75,67.0,89.0,1.11,KI,1624124693.0,27.600000000000023
374,saint-pacome,,,,,,,,,
375,altagracia de orituco,9.8601,-66.3814,304.68,46.0,46.0,3.01,VE,1624124693.0,31.53000000000003
376,nouadhibou,20.931,-17.0347,297.14,57.0,0.0,9.77,MR,1624124242.0,23.99000000000001
377,aykhal,66.0,111.5,290.7,52.0,100.0,1.5,RU,1624124694.0,17.55000000000001
378,kurkino,53.4257,38.6582,291.62,82.0,1.0,2.0,RU,1624124694.0,18.470000000000027
379,wewak,-3.5534,143.6268,298.38,84.0,57.0,1.47,PG,1624124694.0,25.230000000000018
380,ibia,-19.4783,-46.5389,298.85,27.0,0.0,4.21,BR,1624124695.0,25.700000000000045
381,guerrero negro,27.9769,-114.0611,294.93,64.0,8.0,8.21,MX,1624124290.0,21.78000000000003
382,changping,40.2186,116.2197,299.55,28.0,30.0,5.36,CN,1624124695.0,26.400000000000034
383,zuwarah,32.9312,12.082,299.29,58.0,1.0,6.3,LY,1624124695.0,26.140000000000043
384,mezen,65.8522,44.24,281.81,79.0,72.0,2.41,RU,1624124572.0,8.660000000000025
385,santiago,-33.4569,-70.6483,289.36,54.0,20.0,1.03,CL,1624124459.0,16.210000000000036
386,mataram,-8.5833,116.1167,296.6,86.0,60.0,1.71,ID,1624124696.0,23.450000000000045
387,bouca,6.5105,18.2733,298.62,63.0,72.0,1.8,CF,1624124696.0,25.470000000000027
388,nemuro,43.3236,145.575,282.56,95.0,100.0,3.74,JP,1624124638.0,9.410000000000025
389,warqla,,,,,,,,,
390,tilichiki,60.4667,166.1,279.17,84.0,100.0,2.3,RU,1624124217.0,6.020000000000039
391,valle de guadalupe,21.0,-102.6167,291.83,71.0,100.0,5.71,MX,1624124697.0,18.680000000000007
392,jaypur,18.85,82.5833,297.1,83.0,100.0,2.44,IN,1624124697.0,23.950000000000045
393,vanavara,60.34,102.2797,286.54,90.0,76.0,1.31,RU,1624124697.0,13.390000000000043
394,pasni,25.2631,63.471,301.54,81.0,4.0,4.46,PK,1624124697.0,28.390000000000043
395,havre-saint-pierre,50.2334,-63.5986,287.35,88.0,90.0,5.14,CA,1624124698.0,14.200000000000045
396,solnechnyy,50.7214,136.6319,287.14,80.0,100.0,1.34,RU,1624124698.0,13.990000000000009
397,norrtalje,59.758,18.705,298.2,75.0,1.0,2.79,SE,1624124698.0,25.05000000000001
398,mackenzie,55.2999,-123.1698,287.27,62.0,1.0,4.12,CA,1624124286.0,14.120000000000005
399,khonuu,,,,,,,,,
400,moyale,3.5167,39.0584,294.31,62.0,99.0,6.86,KE,1624124699.0,21.160000000000025
401,mount isa,-20.7333,139.5,283.02,57.0,29.0,3.6,AU,1624124699.0,9.870000000000005
402,eregli,37.5133,34.0467,294.75,31.0,25.0,1.79,TR,1624124699.0,21.600000000000023
403,hofn,64.2539,-15.2082,279.49,90.0,100.0,2.98,IS,1624124241.0,6.340000000000032
404,fukue,32.6881,128.8419,294.94,77.0,56.0,3.57,JP,1624124700.0,21.79000000000002
405,sovetskiy,61.3614,63.5842,285.55,97.0,100.0,4.38,RU,1624124700.0,12.400000000000034
406,mnogovershinnyy,53.9353,139.9242,281.88,62.0,94.0,1.67,RU,1624124700.0,8.730000000000018
407,alamosa,37.4695,-105.87,301.29,46.0,1.0,0.0,US,1624124701.0,28.140000000000043
408,buqayq,,,,,,,,,
409,alugan,12.2188,125.4808,298.31,90.0,100.0,1.66,PH,1624124701.0,25.160000000000025
410,avezzano,42.0402,13.4388,298.53,60.0,15.0,4.02,IT,1624124457.0,25.379999999999995
411,salinopolis,-0.6136,-47.3561,302.27,67.0,47.0,5.31,BR,1624124702.0,29.120000000000005
412,ereymentau,51.6199,73.1033,281.13,62.0,34.0,2.09,KZ,1624124702.0,7.980000000000018
413,coihaique,-45.5752,-72.0662,281.49,53.0,40.0,1.54,CL,1624124702.0,8.340000000000032
414,tabou,4.423,-7.3528,299.92,76.0,45.0,4.5,CI,1624124702.0,26.77000000000004
415,parana,-31.732,-60.5238,289.58,45.0,6.0,2.18,AR,1624124703.0,16.430000000000007
416,kungurtug,50.5994,97.5228,284.72,60.0,15.0,0.69,RU,1624124307.0,11.57000000000005
417,natal,-5.795,-35.2094,300.27,74.0,75.0,6.17,BR,1624124661.0,27.120000000000005
418,tres de maio,-27.7733,-54.24,285.99,95.0,100.0,4.62,BR,1624124704.0,12.840000000000032
419,coxim,-18.5067,-54.76,302.13,36.0,1.0,4.38,BR,1624124669.0,28.980000000000018
420,lakhdenpokhya,61.5198,30.1992,294.72,62.0,4.0,3.3,RU,1624124705.0,21.57000000000005
421,dutlwe,-23.9833,23.9,286.54,64.0,54.0,4.34,BW,1624124705.0,13.390000000000043
422,ermioni,37.3869,23.2442,299.51,58.0,32.0,1.75,GR,1624124705.0,26.360000000000014
423,aginskoye,51.1,114.53,283.38,95.0,93.0,3.56,RU,1624124706.0,10.230000000000018
424,otane,-39.8833,176.6333,284.48,99.0,100.0,0.42,NZ,1624124706.0,11.330000000000041
425,inirida,3.8653,-67.9239,301.85,77.0,78.0,0.62,CO,1624124361.0,28.700000000000045
426,umzimvubu,,,,,,,,,
427,paamiut,61.994,-49.6678,279.07,83.0,100.0,11.62,GL,1624124456.0,5.920000000000016
428,samalaeulu,,,,,,,,,
429,mecca,21.4267,39.8261,306.57,25.0,5.0,2.9,SA,1624124268.0,33.420000000000016
430,palembang,-2.9167,104.7458,296.83,90.0,99.0,1.68,ID,1624124707.0,23.680000000000007
431,grand gaube,-20.0064,57.6608,295.37,73.0,1.0,1.34,MU,1624124254.0,22.220000000000027
432,los llanos de aridane,28.6585,-17.9182,294.01,66.0,40.0,7.2,ES,1624124322.0,20.860000000000014
433,high level,58.5169,-117.136,291.21,45.0,20.0,7.2,CA,1624124707.0,18.060000000000002
434,virginia beach,36.8529,-75.978,307.6,49.0,20.0,5.66,US,1624124443.0,34.450000000000045
435,tabuk,17.4189,121.4443,297.5,77.0,77.0,1.19,PH,1624124708.0,24.350000000000023
436,teya,60.3778,92.6267,288.91,96.0,83.0,0.79,RU,1624124300.0,15.760000000000048
437,gouyave,12.1646,-61.7296,301.58,79.0,40.0,7.2,GD,1624124708.0,28.430000000000007
438,madisonville,37.3281,-87.4989,303.93,61.0,100.0,1.34,US,1624124708.0,30.78000000000003
439,pakxan,18.3778,103.6601,298.42,83.0,67.0,1.11,LA,1624124709.0,25.27000000000004
440,coahuayana,18.7333,-103.6833,298.86,95.0,100.0,10.86,MX,1624124283.0,25.710000000000036
441,sulangan,11.1373,123.7228,301.67,75.0,100.0,2.14,PH,1624124709.0,28.52000000000004
442,riyadh,24.6877,46.7219,313.18,6.0,0.0,5.14,SA,1624124709.0,40.03000000000003
443,lasa,46.6166,10.7002,300.1,72.0,80.0,1.29,IT,1624124335.0,26.950000000000045
444,hibbing,47.4272,-92.9377,290.29,63.0,90.0,2.06,US,1624124710.0,17.140000000000043
445,mandalgovi,45.7625,106.2708,289.49,39.0,67.0,3.41,MN,1624124710.0,16.340000000000032
446,kumeny,58.1089,49.9161,295.49,62.0,12.0,5.7,RU,1624124710.0,22.340000000000032
447,sinnamary,5.3833,-52.95,302.61,65.0,7.0,5.25,GF,1624124293.0,29.460000000000036
448,kuito,-12.3833,16.9333,287.12,34.0,9.0,0.27,AO,1624124711.0,13.970000000000027
449,azimur,,,,,,,,,
450,quatre cocos,-20.2078,57.7625,295.21,61.0,5.0,7.54,MU,1624124326.0,22.060000000000002
451,necochea,-38.5473,-58.7368,283.17,53.0,100.0,2.9,AR,1624124711.0,10.020000000000039
452,paita,-5.0892,-81.1144,298.46,67.0,34.0,5.69,PE,1624124711.0,25.310000000000002
453,vilhena,-12.7406,-60.1458,301.27,57.0,0.0,4.12,BR,1624124712.0,28.120000000000005
454,kahului,20.8947,-156.47,299.17,74.0,20.0,2.57,US,1624124712.0,26.02000000000004
455,san cristobal,7.7669,-72.225,302.25,61.0,44.0,3.24,VE,1624124712.0,29.100000000000023
456,portsmouth,50.799,-1.0913,288.98,94.0,100.0,1.79,GB,1624124480.0,15.830000000000041
457,ancud,-41.8697,-73.8203,281.61,78.0,98.0,2.25,CL,1624124267.0,8.460000000000036
458,brezice,45.9033,15.5911,303.5,65.0,75.0,2.06,SI,1624124713.0,30.350000000000023
459,mitsamiouli,-11.3847,43.2844,298.59,71.0,7.0,6.24,KM,1624124355.0,25.439999999999998
460,colares,38.7992,-9.4469,293.33,61.0,20.0,4.02,PT,1624124713.0,20.180000000000007
461,garwolin,51.8975,21.6147,301.96,78.0,74.0,3.66,PL,1624124687.0,28.810000000000002
462,oda,35.1833,132.5,290.58,85.0,18.0,1.59,JP,1624124632.0,17.430000000000007
463,marcona,,,,,,,,,
464,fez,34.0372,-4.9998,295.29,49.0,75.0,2.06,MA,1624124654.0,22.140000000000043
465,sistranda,63.7256,8.834,287.13,86.0,100.0,8.56,NO,1624124714.0,13.980000000000018
466,karratha,-20.7377,116.8463,292.56,62.0,0.0,2.19,AU,1624124340.0,19.410000000000025
467,taldan,53.6667,124.8,283.83,99.0,63.0,2.02,RU,1624124714.0,10.680000000000007
468,narrabri,-30.3167,149.7833,281.22,87.0,58.0,2.06,AU,1624124715.0,8.07000000000005
469,ngukurr,,,,,,,,,
470,nieuw amsterdam,5.8833,-55.0833,305.45,66.0,40.0,5.14,SR,1624124715.0,32.30000000000001
471,ola,59.5833,151.2833,283.26,71.0,86.0,2.2,RU,1624124290.0,10.110000000000014
472,golden rock,,,,,,,,,
473,thyboron,56.6985,8.2124,289.36,87.0,75.0,6.42,DK,1624124715.0,16.210000000000036
474,thunder bay,48.4001,-89.3168,289.14,61.0,90.0,1.54,CA,1624124716.0,15.990000000000009
475,tubruq,,,,,,,,,
476,pathein,16.7833,94.7333,299.43,88.0,98.0,1.91,MM,1624124427.0,26.28000000000003
477,beloha,-25.1667,45.05,291.42,80.0,38.0,5.33,MG,1624124327.0,18.27000000000004
478,vardo,70.3705,31.1107,280.74,86.0,82.0,4.43,NO,1624124278.0,7.590000000000032
479,zhigansk,66.7697,123.3711,289.54,63.0,86.0,1.63,RU,1624124288.0,16.390000000000043
480,pringsewu,-5.3582,104.9744,296.48,92.0,99.0,1.55,ID,1624124716.0,23.33000000000004
481,quelimane,-17.8786,36.8883,296.12,83.0,40.0,2.57,MZ,1624124717.0,22.970000000000027
482,poum,-20.2333,164.0167,296.22,83.0,54.0,5.25,NC,1624124317.0,23.07000000000005
483,manggar,-2.8833,108.2667,299.49,81.0,100.0,2.18,ID,1624124717.0,26.340000000000032
484,florianopolis,-27.6146,-48.5012,290.72,93.0,90.0,0.45,BR,1624124717.0,17.57000000000005
485,trstenik,43.6169,21.0025,296.38,95.0,67.0,2.04,RS,1624124718.0,23.230000000000018
486,marolambo,-20.05,48.1167,288.13,99.0,46.0,1.34,MG,1624124718.0,14.980000000000018
487,ngunguru,-35.6167,174.5,285.46,87.0,44.0,6.36,NZ,1624124718.0,12.310000000000002
488,teguldet,57.3064,88.1667,289.0,99.0,100.0,2.18,RU,1624124321.0,15.850000000000023
489,anadyr,64.75,177.4833,278.43,75.0,0.0,1.79,RU,1624124719.0,5.28000000000003
490,hambantota,6.1241,81.1185,300.28,77.0,97.0,8.47,LK,1624124343.0,27.129999999999995
491,dong hoi,17.4833,106.6,302.4,70.0,91.0,2.46,VN,1624124719.0,29.25
492,williston,48.147,-103.618,300.14,34.0,89.0,0.89,US,1624124719.0,26.99000000000001
493,brigham city,41.5102,-112.0155,307.6,18.0,1.0,0.45,US,1624124720.0,34.450000000000045
494,aflu,,,,,,,,,
495,chumphon,10.3333,98.8333,296.29,93.0,29.0,1.72,TH,1624124720.0,23.140000000000043
496,maneadero,31.7167,-116.5667,291.54,89.0,27.0,0.45,MX,1624124472.0,18.390000000000043
497,auki,-8.7676,160.7034,297.76,83.0,100.0,2.0,SB,1624124720.0,24.610000000000014
498,milton,34.1322,-84.3007,297.98,89.0,100.0,0.45,US,1624124721.0,24.83000000000004
499,barra do garcas,-15.89,-52.2567,307.47,31.0,20.0,3.09,BR,1624124306.0,34.32000000000005
500,zihuatanejo,17.6333,-101.55,298.2,94.0,90.0,5.14,MX,1624124721.0,25.05000000000001
501,la troncal,-2.4,-79.3333,304.04,74.0,95.0,1.41,EC,1624124721.0,30.890000000000043
502,margate,51.3813,1.3862,288.88,88.0,96.0,0.89,GB,1624124722.0,15.730000000000018
503,rawson,-43.3002,-65.1023,282.98,49.0,1.0,8.63,AR,1624124271.0,9.830000000000041
504,altamira,-3.2033,-52.2064,303.2,70.0,75.0,3.09,BR,1624124722.0,30.05000000000001
505,salalah,17.0151,54.0924,300.2,89.0,75.0,4.63,OM,1624124226.0,27.05000000000001
506,bambanglipuro,-7.95,110.2833,286.82,89.0,99.0,1.58,ID,1624124722.0,13.670000000000016
507,nanortalik,60.1432,-45.2371,278.68,83.0,100.0,5.8,GL,1624124227.0,5.53000000000003
508,badaojiang,,,,,,,,,
509,clyde river,70.4692,-68.5914,274.28,100.0,90.0,2.06,CA,1624124218.0,1.1299999999999955
510,vostok,46.4856,135.8833,280.22,85.0,100.0,1.71,RU,1624124276.0,7.07000000000005
511,lagoa,39.05,-27.9833,293.06,91.0,41.0,7.79,PT,1624124234.0,19.910000000000025
512,cape coast,5.1053,-1.2466,299.6,81.0,91.0,5.42,GH,1624124319.0,26.450000000000045
513,kyra,49.5776,111.9753,284.47,77.0,95.0,2.4,RU,1624124723.0,11.32000000000005
514,komsomolskiy,40.4272,71.7189,299.55,27.0,34.0,1.03,UZ,1624124301.0,26.400000000000034
515,sangar,63.9242,127.4739,288.24,55.0,84.0,0.8,RU,1624124724.0,15.090000000000032
516,tuni,17.35,82.55,300.25,77.0,100.0,2.08,IN,1624124724.0,27.100000000000023
517,wadi musa,30.3222,35.4793,293.0,49.0,0.0,3.71,JO,1624124724.0,19.850000000000023
518,lata,40.1629,-8.3327,292.62,80.0,98.0,3.79,PT,1624124725.0,19.470000000000027
519,ainazi,57.8636,24.3578,294.34,73.0,3.0,4.77,LV,1624124725.0,21.189999999999998
520,mizan teferi,6.9833,35.5833,288.62,97.0,99.0,0.85,ET,1624124725.0,15.470000000000027
521,iskateley,67.6803,53.1512,276.79,80.0,95.0,9.02,RU,1624124451.0,3.640000000000043
522,mocambique,,,,,,,,,
523,kuandian,40.7286,124.7847,286.1,92.0,39.0,0.52,CN,1624124726.0,12.950000000000045
524,areosa,41.7178,-8.8571,291.06,77.0,99.0,2.89,PT,1624124726.0,17.910000000000025
525,vagur,61.4732,-6.8119,281.93,84.0,95.0,3.04,FO,1624124726.0,8.78000000000003
526,san carlos,9.6612,-68.5827,304.17,56.0,68.0,2.33,VE,1624124727.0,31.02000000000004
527,bujumbura,-3.3822,29.3644,295.39,77.0,95.0,1.1,BI,1624124727.0,22.24000000000001
528,golaghat,26.5167,93.9667,297.29,96.0,97.0,2.89,IN,1624124727.0,24.140000000000043
529,gulshat,,,,,,,,,
530,tkvarcheli,,,,,,,,,
531,borisoglebskiy,57.2586,39.1508,298.95,80.0,31.0,3.28,RU,1624124728.0,25.80000000000001
532,keetmanshoop,-26.5833,18.1333,293.66,22.0,0.0,3.6,NA,1624124728.0,20.510000000000048
533,lompoc,34.6391,-120.4579,303.82,90.0,1.0,2.57,US,1624124320.0,30.670000000000016
534,benguela,-12.5763,13.4055,296.2,78.0,1.0,2.17,AO,1624124728.0,23.05000000000001
535,prado,-17.3411,-39.2208,297.49,62.0,79.0,5.11,BR,1624124548.0,24.340000000000032
536,lolua,,,,,,,,,
537,riachao do dantas,-11.0689,-37.725,300.1,53.0,17.0,5.63,BR,1624124729.0,26.950000000000045
538,soyo,-6.1349,12.3689,299.18,84.0,4.0,4.99,AO,1624124729.0,26.03000000000003
539,farim,12.4839,-15.2217,312.31,23.0,43.0,2.66,GW,1624124730.0,39.160000000000025
540,olinda,-8.0089,-34.8553,296.0,88.0,75.0,2.06,BR,1624124275.0,22.850000000000023
541,tura,25.5198,90.2201,295.12,96.0,100.0,2.82,IN,1624124689.0,21.970000000000027
542,bowen,-20.0167,148.2333,282.27,47.0,91.0,2.77,AU,1624124730.0,9.120000000000005
543,bintulu,3.1667,113.0333,297.38,100.0,40.0,2.68,MY,1624124730.0,24.230000000000018
544,newport,51.5877,-2.9984,289.69,80.0,100.0,3.56,GB,1624124731.0,16.54000000000002
545,el alto,-4.2714,-81.2147,296.96,66.0,40.0,7.05,PE,1624124731.0,23.810000000000002
546,ust-kuyga,70.0167,135.6,295.38,41.0,99.0,1.34,RU,1624124731.0,22.230000000000018
547,play cu,,,,,,,,,
548,simbach,48.5667,12.75,302.95,79.0,92.0,3.38,DE,1624124732.0,29.80000000000001
549,buchanan,5.8808,-10.0467,300.13,83.0,85.0,3.58,LR,1624124732.0,26.980000000000018
550,lodwar,3.1191,35.5973,303.33,35.0,99.0,3.47,KE,1624124261.0,30.180000000000007
551,crossville,35.949,-85.0269,301.09,68.0,20.0,2.24,US,1624124732.0,27.939999999999998
552,mizdah,31.4451,12.9801,307.25,19.0,3.0,4.54,LY,1624124733.0,34.10000000000002
553,bermeo,43.4209,-2.7215,298.32,79.0,55.0,3.2,ES,1624124733.0,25.170000000000016
554,broome,42.2506,-75.833,302.42,50.0,20.0,0.45,US,1624124289.0,29.27000000000004
555,amargosa,-13.0303,-39.6047,298.66,52.0,75.0,3.92,BR,1624124733.0,25.510000000000048
556,tual,-5.6667,132.75,300.34,79.0,67.0,9.97,ID,1624124303.0,27.189999999999998
557,tala,30.6803,30.9429,297.36,37.0,0.0,3.76,EG,1624124734.0,24.210000000000036
558,fergus falls,46.283,-96.0776,295.52,50.0,1.0,3.58,US,1624124734.0,22.370000000000005
559,shimoda,34.6667,138.95,293.8,96.0,100.0,1.22,JP,1624124734.0,20.650000000000034
560,chicama,-7.8447,-79.1469,291.45,62.0,49.0,4.34,PE,1624124735.0,18.30000000000001
561,slyudyanka,51.6594,103.7061,287.65,70.0,41.0,2.43,RU,1624124735.0,14.5
562,vibo valentia,38.6996,16.1274,294.48,71.0,43.0,1.75,IT,1624124735.0,21.33000000000004
563,tuy hoa,13.0833,109.3,298.85,85.0,27.0,2.84,VN,1624124736.0,25.700000000000045
564,machico,32.7,-16.7667,294.75,61.0,20.0,4.63,PT,1624124736.0,21.600000000000023
565,acarau,-2.8856,-40.12,301.58,70.0,76.0,4.79,BR,1624124309.0,28.430000000000007
566,ingham,42.6,-84.3833,294.12,94.0,90.0,6.69,US,1624124736.0,20.970000000000027
567,locri,38.2414,16.2623,300.68,61.0,58.0,3.37,IT,1624124737.0,27.53000000000003
568,contai,21.7786,87.7536,299.07,88.0,100.0,7.26,IN,1624124737.0,25.920000000000016
569,williams lake,52.1415,-122.1445,285.91,76.0,90.0,1.34,CA,1624124737.0,12.760000000000048
570,kirakira,-10.4544,161.9205,299.23,84.0,93.0,3.09,SB,1624124224.0,26.08000000000004
571,san gabriel casa blanca,18.15,-97.1333,302.66,53.0,92.0,1.39,MX,1624124738.0,29.510000000000048
572,le port,-20.9373,55.2919,293.49,94.0,9.0,2.19,RE,1624124278.0,20.340000000000032
